gender,pace_5k_sec,time_5k_sec,finish_time_sec,age
1,246.0,1229.0,5438,53.0
1,253.0,1264.0,5439,53.0
1,257.0,1285.0,5439,48.0
1,248.0,1241.0,5443,45.0
1,279.0,1395.0,5445,23.0
0,248.0,1240.0,5448,56.0
1,247.0,1235.0,5448,45.0
1,242.0,1209.0,5449,37.0
1,257.0,1284.0,5449,37.0
1,241.0,1203.0,5450,29.0
1,243.0,1217.0,5453,36.0
1,257.0,1283.0,5454,38.0
1,253.0,1267.0,5456,50.0
1,254.0,1268.0,5457,45.0
1,244.0,1220.0,5459,31.0
1,253.0,1267.0,5459,48.0
1,245.0,1226.0,5461,35.0
1,235.0,1176.0,5462,49.0
1,248.0,1240.0,5463,34.0
1,247.0,1237.0,5463,40.0
1,251.0,1253.0,5467,30.0
1,237.0,1184.0,5469,31.0
1,252.0,1259.0,5472,41.0
1,248.0,1240.0,5472,27.0
1,256.0,1278.0,5473,37.0
1,247.0,1233.0,5473,40.0
1,253.0,1266.0,5474,38.0
1,252.0,1260.0,5476,44.0
1,253.0,1266.0,5478,31.0
0,256.0,1281.0,5478,47.0
1,232.0,1160.0,5479,38.0
1,256.0,1281.0,5479,38.0
1,249.0,1247.0,5480,34.0
1,252.0,1258.0,5483,40.0
1,246.0,1228.0,5487,39.0
0,256.0,1281.0,5487,54.0
1,257.0,1284.0,5488,34.0
1,254.0,1268.0,5488,32.0
1,244.0,1219.0,5490,23.0
1,258.0,1292.0,5495,49.0
1,251.0,1257.0,5496,31.0
1,268.0,1342.0,5502,49.0
1,255.0,1275.0,5503,35.0
1,265.0,1327.0,5504,36.0
0,255.0,1273.0,5506,36.0
1,250.0,1248.0,5506,51.0
1,259.0,1294.0,5507,42.0
1,256.0,1279.0,5511,48.0
1,258.0,1289.0,5511,45.0
1,249.0,1246.0,5512,45.0
1,258.0,1292.0,5516,38.0
0,256.0,1282.0,5518,34.0
0,246.0,1228.0,5518,42.0
1,246.0,1231.0,5518,55.0
0,248.0,1240.0,5520,26.0
1,261.0,1304.0,5523,39.0
0,259.0,1293.0,5524,27.0
1,252.0,1261.0,5530,31.0
1,256.0,1280.0,5532,34.0
1,249.0,1245.0,5532,26.0
1,267.0,1336.0,5533,31.0
1,257.0,1286.0,5534,51.0
1,262.0,1310.0,5534,45.0
1,249.0,1245.0,5535,51.0
1,255.0,1277.0,5535,45.0
1,250.0,1252.0,5535,22.0
1,249.0,1247.0,5536,40.0
1,,,5540,42.0
1,253.0,1264.0,5541,38.0
1,250.0,1249.0,5541,61.0
1,271.0,1353.0,5541,27.0
1,262.0,1310.0,5542,48.0
1,233.0,1164.0,5543,28.0
1,271.0,1355.0,5544,39.0
1,257.0,1287.0,5547,39.0
1,263.0,1313.0,5548,30.0
1,252.0,1258.0,5548,36.0
1,257.0,1286.0,5549,51.0
1,256.0,1279.0,5552,38.0
1,267.0,1337.0,5554,40.0
1,251.0,1256.0,5559,38.0
1,248.0,1241.0,5561,33.0
1,257.0,1284.0,5565,43.0
0,257.0,1284.0,5566,40.0
0,248.0,1241.0,5566,33.0
1,249.0,1243.0,5566,42.0
1,251.0,1256.0,5567,49.0
1,253.0,1263.0,5568,37.0
0,258.0,1289.0,5569,39.0
0,250.0,1251.0,5569,32.0
1,277.0,1387.0,5572,19.0
1,253.0,1263.0,5572,34.0
1,266.0,1329.0,5572,46.0
1,248.0,1242.0,5573,32.0
1,264.0,1321.0,5574,40.0
1,257.0,1286.0,5577,49.0
1,271.0,1354.0,5577,42.0
1,260.0,1299.0,5578,37.0
1,260.0,1298.0,5578,32.0
1,258.0,1288.0,5578,51.0
1,256.0,1280.0,5580,40.0
1,256.0,1281.0,5585,50.0
1,256.0,1282.0,5585,39.0
0,256.0,1278.0,5587,23.0
1,,,5588,51.0
1,258.0,1291.0,5589,48.0
1,263.0,1313.0,5589,35.0
1,,,5589,38.0
1,254.0,1270.0,5590,42.0
1,264.0,1319.0,5591,47.0
1,264.0,1320.0,5595,39.0
1,263.0,1313.0,5596,44.0
1,263.0,1317.0,5597,51.0
1,255.0,1273.0,5597,31.0
0,251.0,1255.0,5597,26.0
1,261.0,1307.0,5599,25.0
1,258.0,1289.0,5602,46.0
1,266.0,1332.0,5603,33.0
0,266.0,1332.0,5605,32.0
1,261.0,1304.0,5611,40.0
1,273.0,1364.0,5611,29.0
1,260.0,1301.0,5611,33.0
1,244.0,1221.0,5613,44.0
1,247.0,1234.0,5613,39.0
1,264.0,1318.0,5614,32.0
1,258.0,1291.0,5614,32.0
1,275.0,1373.0,5616,44.0
1,248.0,1239.0,5616,47.0
1,264.0,1321.0,5617,39.0
1,248.0,1242.0,5617,48.0
1,255.0,1276.0,5619,28.0
1,262.0,1312.0,5620,26.0
0,255.0,1276.0,5620,27.0
1,264.0,1322.0,5621,50.0
1,259.0,1294.0,5622,42.0
1,256.0,1278.0,5622,32.0
1,267.0,1336.0,5623,45.0
1,255.0,1277.0,5624,27.0
0,257.0,1283.0,5624,35.0
1,261.0,1305.0,5624,63.0
1,258.0,1289.0,5625,25.0
1,250.0,1252.0,5625,49.0
1,259.0,1295.0,5626,23.0
1,260.0,1299.0,5627,52.0
1,252.0,1261.0,5630,45.0
1,236.0,1182.0,5631,26.0
1,262.0,1309.0,5632,46.0
1,249.0,1243.0,5633,57.0
1,277.0,1383.0,5634,46.0
1,,,5634,33.0
1,250.0,1252.0,5635,29.0
1,263.0,1314.0,5635,33.0
0,263.0,1315.0,5635,22.0
1,264.0,1318.0,5636,33.0
1,270.0,1350.0,5637,41.0
1,264.0,1322.0,5637,33.0
1,264.0,1321.0,5641,47.0
1,269.0,1345.0,5642,54.0
1,256.0,1282.0,5642,48.0
1,253.0,1265.0,5642,28.0
1,265.0,1327.0,5644,56.0
1,260.0,1301.0,5646,42.0
1,260.0,1298.0,5646,39.0
1,267.0,1336.0,5646,36.0
1,259.0,1294.0,5647,52.0
1,256.0,1282.0,5648,52.0
1,256.0,1279.0,5650,34.0
1,259.0,1296.0,5650,39.0
1,262.0,1312.0,5651,51.0
1,253.0,1265.0,5653,27.0
0,260.0,1300.0,5653,35.0
1,258.0,1292.0,5653,30.0
1,264.0,1322.0,5654,38.0
